"country","total_aqi","avg_cases","log_avg_cases"
"Afghanistan",45,4280.78571428571,3.63162492885474
"Albania",160,276.5,2.4432629874587
"Algeria",49,322.785714285714,2.51025768338045
"Antigua and Barbuda",78,2.5,0.544068044350276
"Argentina",31,657.181818181818,2.81834588103892
"Armenia",37,312.857142857143,2.49673201690625
"Australia",41,116.769230769231,2.07103183839142
"Austria",45,140.214285714286,2.14987863363543
"Azerbaijan",151,2645.21428571429,3.42262500966823
"Bahamas",81,2.42857142857143,0.535113201697349
"Bahrain",76,530.5,2.72550326885932
"Bangladesh",55,5798.92857142857,3.76342264507579
"Barbados",42,16.8181818181818,1.25086338619825
"Belarus",73,411.785714285714,2.61572465878815
"Belgium",55,176.6,2.24944296144258
"Belize",33,38.5454545454545,1.59709657179641
"Benin",13,673.285714285714,2.82884395861983
"Bhutan",75,178.538461538462,2.25415749940251
"Bolivia (Plurinational State of)",136,184.272727272727,2.26781149451218
"Bosnia and Herzegovina",166,433.25,2.63773982711914
"Botswana",23,295.428571428571,2.47192006103385
"Brazil",23,10345,4.01477247407306
"Brunei Darussalam",11,18.0714285714286,1.28038322568634
"Bulgaria",64,133.307692307692,2.12810088706271
"Burkina Faso",41,1604.85714285714,3.2057069077992
"Burundi",8,696.214285714286,2.84336627709447
"Cambodia",60,1203.71428571429,3.08088406031285
"Cameroon",15,2433.28571428571,3.38637155041642
"Canada",182,318.625,2.50464074103439
"Central African Republic",3,934,2.97081161087252
"Chad",135,1213.64285714286,3.0844486005905
"Chile",30,310.909090909091,2.49402803289795
"China",101,52377.1428571429,4.71915009582282
"Colombia",81,2109.72727272727,3.32443212170114
"Comoros",20,50.5384615384615,1.71213145039399
"Congo",10,493.142857142857,2.6938525220001
"Cook Islands",25,0,0
"Costa Rica",33,70.3636363636364,1.85347697158703
"Croatia",87,32.1666666666667,1.52070182602606
"Cuba",58,1586.08333333333,3.20059973094934
"Cyprus",199,6.41666666666667,0.870208760597288
"Czechia",95,145.916666666667,2.1670710662517
